No,企業名,区分,本社,店舗資材への認証材記載,優先度,アプローチ窓口,出典URL
1,良品計画（無印良品）,Tier A,日本,2024年9月から店舗什器に認証材(FSC/PEFC/SGEC)使用開始。什器棚板に国産材・SGEC認証店舗あり。2030年に木材・紙100%認証材目標,★★★,店舗開発部／什器調達,https://www.ryohin-keikaku.jp/sustainability/environment/material
2,三越伊勢丹プロパティ・デザイン（三越伊勢丹HD）,Tier A,日本,FSC認証材を使った建装・家具・什器を製作販売。クリーンウッド法登録事業者(2019年8月),★★★,資材調達／設計部門,https://shitte-erabo.net/fscproducts/story/6615/
3,丹青社,経路(内装),日本,2022年7月にFSC-CoC認証取得。FSC認証木材のみで構成した特注家具を製作,★★★,環境推進／資材調達,https://www.tanseisha.co.jp/news/release/2023/post-46996
4,ゴールドウイン（THE NORTH FACE等）,Tier C,日本,記載なし。ただしサステナブル建築の新店(THE NORTH FACE Sphere原宿)を展開し木質志向が強い,★★★,店舗開発／サステナビリティ推進,https://www.apparel-mag.com/abm/news/4172
5,オンワードHD／オンワードコーポレートデザイン,Tier C,日本,記載なし。グループに店舗デザイン施工会社を保有。木目什器を意匠に使用,★★★,オンワードCD経由,https://onward-cd.co.jp/sustainability/
6,ユナイテッドアローズ,Tier C,日本,記載なし。CDPサプライヤーエンゲージメントAリスト2年連続,★★★,サステナビリティ推進／店舗開発,https://prtimes.jp/main/html/rd/p/000000475.000003197.html
7,Inditex（Zara・Zara Home等）,Tier A,スペイン,全店舗の木製什器がFSCまたはPEFC認証。家具・紙製品はPEFC/FSC承認品,★★,日本法人店舗開発＋内装会社,https://www.inditex.com/our-commitment-to-the-environment/climate-change-and-energy/eco-stores
8,LVMH（Dior・Louis Vuitton・Berluti・Le Bon Marché）,Tier A,フランス,LIFE in Storesエコデザイン指針。新規出店・改装の木材100%FSC方針。Berluti店舗でFSCプロジェクト認証。Diorは2030年までに全ブティック適用,★★,各メゾン日本法人ストアプランニング,https://www.lvmh.com/commitment-in-action/for-the-environment/life-in-stores-awards
9,Ralph Lauren,Tier A,米国,新店内装向け主要木材サプライヤーの100%が認証・再利用・リサイクル木質基材を使用する目標。FY22 11%→FY23 37%、2025年達成発表,★★,日本法人ストアデザイン,https://corporate.ralphlauren.com/on/demandware.static/-/Sites-RalphLauren_Corporate-Library/default/dweb5e61b2/documents/2025_reports_and_policies/RL-2025-GCSReport.pdf
10,PUMA,Tier A,ドイツ,店舗のハンガー・シューズ什器を再生樹脂またはFSC認証木材へ切替,★★,日本法人リテール,https://annual-report.puma.com/2023/en/sustainability/plastics-and-the-oceans/index.html
11,Marks & Spencer,Tier A,英国,2015年Property Wood Policyで全ての木質内装・建築・ディスプレイ材をFSC100%/Mix/リサイクルに限定,★（日本未展開）,英国本社（参考事例として活用）,https://uk.fsc.org/newsfeed/shops-fit-for-the-environment
12,NEXT plc,Tier A,英国,Timber Sourcing Policyで店舗躯体・内装・什器の木質材を認証材に限定（熱帯材はFSCのみ）,★（日本未展開）,英国本社（参考事例として活用）,https://www.nextplc.co.uk/~/media/Files/N/Next-PLC-V2/documents/about-us/timber-sourcing-policy-2021.pdf
13,ファストリテイリング（ユニクロ・GU）,Tier B,日本,森林由来素材の調達方針あり。買物袋はFSC認証紙/再生紙。店舗什器・内装材の明記は確認できず,★★,店舗開発部／サステナビリティ部,https://www.fastretailing.com/eng/sustainability/products/pdf/forest_materials_policy_en.pdf
14,H&M Group,Tier B,スウェーデン,内装・建築材の再利用を軸にしたbuilt environment戦略。MMCF・包装はFSC/PEFC。認証材の店舗要求は未明記,★★,日本法人店舗開発,https://hmgroup.com/our-stories/built-with-circularity-from-storefronts-to-office-floors/
15,Levi Strauss & Co.,Tier B,米国,Sustainable Forest Product Procurement PolicyでFSC認証林産物を優先調達。Retail Sustainability Playbookで店舗標準仕様を整備,★★,日本法人リテール,http://www.levistrauss.com/wp-content/uploads/2014/01/Sustainable-Forest-Product-Procurement-Policy.pdf
16,lululemon,Tier B,カナダ,CDP Forestsに木材を開示。ヨガマットの天然ゴムは100%FSC。店舗ミルワークの認証材要求は未確認,★★,日本法人ストアデザイン,https://corporate.lululemon.com/~/media/Files/L/Lululemon/our-impact/reporting-and-disclosure/lululemon-cdp-forests-2023.pdf
17,Gap Inc.,Tier B,米国,FSC UKが店舗fit-outに認証材を求める大手小売としてGapを名指し（二次情報。原文確認要）,★★,日本法人／内装会社,https://uk.fsc.org/newsfeed/shops-fit-for-the-environment
18,adidas,Tier B,ドイツ,直営店の内装・建設でLEED/BREEAMを活用。FSCの明記は確認できず,★,日本法人リテール,https://report.adidas-group.com/2022/en/group-management-report-our-company/sustainability/environmental-impacts.html
19,Chanel,Tier B,フランス,2024年末時点で316のLEED認証ブティック・拠点。製品容器にFSC認証木材チップ。店舗内装の認証材記載なし,★,日本法人ストアプランニング,https://www.chanel.com/puls-img/1758110433609-chanel-sustainability-performance-extract-2024-for-publication.pdf
20,Burberry,Tier B,英国,FSC認証木製ハンガー・FSC認証紙。店舗内装の明記なし,★,日本法人,https://www.burberryplc.com/content/dam/burberryplc/corporate/2024-updates/environmental-and-social-responsibility.pdf
21,Hermès,Tier B,フランス,オレンジボックスにFSC認証紙・100%再生段ボール。包装中心,★,日本法人,https://romestation.ca/blogs/news/eco-friendly-luxury-does-hermes-support-sustainable-practices
22,アダストリア,Tier C,日本,記載なし。Sustainability Reportを継続発行。多ブランド×多店舗で標準什器の効果大,★,店舗開発／サステナビリティ,https://www.adastria.co.jp/archives/001/202112/10ce2a388164a2dfdd9149ad48769a6c5d334fa5d59cf175c514beaaed13b857.pdf
23,ワールド,Tier C,日本,記載なし。店舗数・改装頻度が大きい,★,店舗開発,-（公開情報で該当記載を確認できず）
24,TSIホールディングス,Tier C,日本,記載なし。サステナビリティ開示強化フェーズ,★,サステナビリティ推進,https://sustainability.tsi-holdings.com/
25,三陽商会,Tier C,日本,記載なし。百貨店中心のため三越伊勢丹PDと同席提案が可能,★,店舗開発,-（公開情報で該当記載を確認できず）
26,ベイクルーズ,Tier C,日本,記載なし。木質内装を多用する業態,★,店舗開発,-（公開情報で該当記載を確認できず）
27,アーバンリサーチ,Tier C,日本,記載なし。環境活動の発信あり,★,店舗開発,-（公開情報で該当記載を確認できず）
28,パルグループHD,Tier C,日本,記載なし。出店ペースが速い,★,店舗開発,-（公開情報で該当記載を確認できず）
29,乃村工藝社,経路(内装),日本,木材調達方針の明示は確認できず。ディスプレイ業最大手,★★,資材調達／環境推進,-（木材調達方針の明示を確認できず）
30,スペース,経路(内装),日本,木材調達方針の明示は確認できず,★★,資材調達,-（木材調達方針の明示を確認できず）
31,オリバー／カワジュン／ワークスタジオ等 什器メーカー,経路(什器),日本,FSC認証材の什器・家具を既に商品化。競合にも協業先にもなる,★★,商品開発／資材調達,https://www.oliverinc.co.jp/sustainability/fsc.html
32,ニトリHD,参考(隣接),日本,木材調達方針で認証材または環境配慮が証明された木材の調達。店舗什器も自社設計,★★,商品部／店舗開発,https://www.nitorihd.co.jp/sustainability/materiality04/pdf/traceability.pdf
33,セブン＆アイHD,参考(隣接),日本,セブン-イレブンが2016年度から焼菓子販売什器にFSC認証紙を採用,★,サステナビリティ推進,https://www.7andi.com/company/news/release/002425.html
34,イオン,参考(隣接),日本,値札・タグ等の副資材、トップバリュ包装資材にFSC認証材を使用,★,サステナビリティ推進,https://www.7andi.com/sustainability/theme/theme3/raw-material.html
